epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
123,13727,0.27519,0.21321,0.83646,0.93783,1,0.97438,0.97147,0.19262,1.37535,0.78505,0.0069805,0.0069805,0.0069805
124,13838.8,0.27376,0.20976,0.83713,0.93757,1,0.96351,0.9598,0.19133,1.3854,0.78548,0.00695575,0.00695575,0.00695575
125,13949.8,0.2742,0.21339,0.83679,0.93781,1,0.96971,0.96703,0.18602,1.40684,0.78256,0.006931,0.006931,0.006931
126,14060.8,0.27252,0.20912,0.83689,0.93815,1,0.94961,0.94588,0.18796,1.39407,0.78459,0.00690625,0.00690625,0.00690625
127,14172.7,0.27081,0.21104,0.83459,0.93794,1,0.97331,0.96866,0.18745,1.39924,0.78157,0.0068815,0.0068815,0.0068815
128,14283.9,0.27374,0.21094,0.8382,0.93756,1,0.95112,0.94603,0.18891,1.37659,0.78184,0.00685675,0.00685675,0.00685675
129,14395.1,0.27569,0.21181,0.84113,0.93816,1,0.97352,0.97013,0.18449,1.3731,0.7818,0.006832,0.006832,0.006832
130,14506.8,0.27561,0.21165,0.83697,0.93809,1,0.96438,0.96081,0.18546,1.39744,0.78229,0.00680725,0.00680725,0.00680725
131,14617.9,0.26929,0.20809,0.83826,0.93811,1,0.95251,0.94844,0.18636,1.36871,0.78367,0.0067825,0.0067825,0.0067825
132,14728.8,0.27329,0.21106,0.84053,0.93793,1,0.95207,0.9485,0.18858,1.37632,0.7846,0.00675775,0.00675775,0.00675775
133,14840.7,0.26952,0.21445,0.83658,0.9379,1,0.98297,0.97896,0.18607,1.37308,0.78378,0.006733,0.006733,0.006733
134,14952.2,0.27259,0.21075,0.83856,0.93795,1,0.97371,0.96901,0.18905,1.37503,0.78233,0.00670825,0.00670825,0.00670825
135,15063.5,0.26916,0.20776,0.83599,0.93814,1,0.95764,0.95385,0.18806,1.36722,0.78409,0.0066835,0.0066835,0.0066835
136,15175.7,0.27085,0.2071,0.83468,0.93757,1,0.95007,0.94589,0.19022,1.39589,0.78398,0.00665875,0.00665875,0.00665875
137,15286.7,0.27016,0.20998,0.83452,0.93792,1,0.97587,0.97046,0.1878,1.40127,0.78374,0.006634,0.006634,0.006634
138,15398.2,0.26453,0.20525,0.8313,0.9378,1,0.9702,0.96499,0.18739,1.39448,0.78335,0.00660925,0.00660925,0.00660925
139,15510.5,0.26973,0.20163,0.83699,0.9379,1,0.95885,0.95415,0.18765,1.39561,0.78286,0.0065845,0.0065845,0.0065845
140,15622.1,0.26694,0.20075,0.835,0.93791,1,0.97661,0.97277,0.1869,1.39401,0.78016,0.00655975,0.00655975,0.00655975
141,15734.2,0.2646,0.20061,0.83262,0.93811,1,0.95277,0.94875,0.18594,1.40372,0.77941,0.006535,0.006535,0.006535
142,15846.3,0.26811,0.20144,0.83615,0.93812,1,0.96073,0.95678,0.1868,1.41543,0.7776,0.00651025,0.00651025,0.00651025
143,15958.3,0.26978,0.20264,0.83544,0.93816,1,0.95038,0.94647,0.18619,1.38357,0.77889,0.0064855,0.0064855,0.0064855
144,16070,0.26473,0.20229,0.83251,0.93775,1,0.9534,0.94966,0.18759,1.38895,0.78183,0.00646075,0.00646075,0.00646075
145,16181.5,0.26731,0.20571,0.83597,0.93755,1,0.9529,0.94962,0.18851,1.39564,0.78364,0.006436,0.006436,0.006436
146,16293.8,0.26713,0.20371,0.83582,0.9378,1,0.96592,0.96195,0.18822,1.38984,0.78515,0.00641125,0.00641125,0.00641125
147,16405.5,0.26726,0.20432,0.83753,0.93812,1,0.9862,0.98176,0.18655,1.40006,0.78452,0.0063865,0.0063865,0.0063865
148,16517,0.26379,0.20004,0.83152,0.93785,1,0.98119,0.97642,0.18844,1.43436,0.78467,0.00636175,0.00636175,0.00636175
149,16629.1,0.26641,0.20185,0.83662,0.93782,1,0.96493,0.96041,0.18699,1.4067,0.78387,0.006337,0.006337,0.006337
150,16740.5,0.25955,0.19567,0.8306,0.93789,1,0.96545,0.96109,0.18667,1.4048,0.7825,0.00631225,0.00631225,0.00631225
151,16852.3,0.26438,0.19772,0.8302,0.93791,1,0.97182,0.96849,0.18342,1.40005,0.78327,0.0062875,0.0062875,0.0062875
152,16964.3,0.26364,0.20017,0.83497,0.93809,1,0.97045,0.96685,0.18295,1.41152,0.78296,0.00626275,0.00626275,0.00626275
153,17076.1,0.26026,0.19712,0.83205,0.93794,1,0.968,0.96318,0.18574,1.41394,0.78423,0.006238,0.006238,0.006238
154,17187.5,0.26732,0.20129,0.83511,0.93812,1,0.97509,0.97011,0.1881,1.3977,0.78232,0.00621325,0.00621325,0.00621325
155,17299.8,0.2605,0.19795,0.83193,0.93791,1,0.96927,0.9663,0.18521,1.39282,0.78248,0.0061885,0.0061885,0.0061885
156,17411.6,0.26016,0.19427,0.82795,0.9379,1,0.96217,0.95878,0.18534,1.39421,0.78236,0.00616375,0.00616375,0.00616375
157,17523.1,0.2599,0.19868,0.8302,0.93813,1,0.97313,0.96923,0.18188,1.38686,0.78148,0.006139,0.006139,0.006139
158,17635.1,0.26351,0.19674,0.83095,0.93794,1,0.9724,0.97,0.17941,1.39068,0.78121,0.00611425,0.00611425,0.00611425
159,17746.6,0.25945,0.19817,0.83068,0.93759,1,0.98398,0.981,0.17998,1.39795,0.78149,0.0060895,0.0060895,0.0060895
160,17858.7,0.2586,0.19481,0.82958,0.93794,1,0.97742,0.97509,0.18171,1.3931,0.78172,0.00606475,0.00606475,0.00606475
161,17970.7,0.26204,0.19771,0.83083,0.93789,1,0.95942,0.95467,0.18256,1.41314,0.7797,0.00604,0.00604,0.00604
162,18082.6,0.26146,0.19364,0.83232,0.9381,1,0.96416,0.95949,0.18693,1.433,0.78347,0.00601525,0.00601525,0.00601525
163,18194.3,0.25955,0.1956,0.83365,0.93762,1,0.95561,0.95141,0.18449,1.4298,0.78349,0.0059905,0.0059905,0.0059905
164,18306.1,0.25638,0.19151,0.83346,0.9376,1,0.95381,0.9507,0.18291,1.42709,0.7823,0.00596575,0.00596575,0.00596575
165,18418.4,0.26092,0.19495,0.83288,0.93758,1,0.97127,0.96698,0.18299,1.43039,0.78218,0.005941,0.005941,0.005941
166,18529.6,0.26019,0.19188,0.83068,0.93814,1,0.97788,0.97449,0.18294,1.41996,0.78046,0.00591625,0.00591625,0.00591625
167,18641.2,0.25884,0.1923,0.83166,0.93815,1,0.98123,0.97697,0.18288,1.41053,0.78049,0.0058915,0.0058915,0.0058915
168,18753,0.26048,0.19258,0.8319,0.93778,1,0.98442,0.97953,0.18285,1.42667,0.77983,0.00586675,0.00586675,0.00586675
169,18864.9,0.25974,0.19372,0.83063,0.9379,1,0.98404,0.9791,0.18254,1.41325,0.77961,0.005842,0.005842,0.005842
170,18976.9,0.25647,0.19161,0.83098,0.93815,1,0.97373,0.96931,0.18182,1.39957,0.77922,0.00581725,0.00581725,0.00581725
171,19088.4,0.25871,0.18957,0.83159,0.93814,1,0.97522,0.97162,0.18081,1.41565,0.77991,0.0057925,0.0057925,0.0057925
172,19199.8,0.25888,0.19355,0.83302,0.93761,1,0.96964,0.96634,0.17882,1.40348,0.77965,0.00576775,0.00576775,0.00576775
